slug,status,old_hours,new_hours,old_hmin,new_hmin,old_hmax,new_hmax,hours_old_only,hours_new_only,intersection,max_abs_phi_diff,n_phi_diff_rows,n_overlap_diff_rows,old_window_hours,new_window_hours
flooding_in_central_and_eastern_europe_sept_16_2024,ok,81,27,-8.0,-8.0,632.0,616.0,54,0,27,0.08278011426391152,567.0,559.0,"0,8,16",8
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,14,14,-8.0,-8.0,304.0,304.0,0,0,14,0.35779536777980336,282.0,278.0,8,8
hurricane_beryl_across_southeastern_texas_us,ok,15,15,-8.0,0.0,328.0,336.0,15,15,0,,,,8,8
hurricane_beryl_pre_landfall_2024,ok,32,32,-8.0,-8.0,736.0,736.0,0,0,32,0.6018552084489294,380.0,380.0,8,8
hurricane_john_across_southeastern_guerrero_mexico,ok,7,7,-8.0,72.0,136.0,216.0,7,7,0,,,,8,8
hurricane_john_southern_mexico_25_september_2024,ok,15,15,-8.0,24.0,328.0,360.0,15,15,0,,,,8,8
hurricane_milton_across_florida_us,ok,10,10,-8.0,0.0,208.0,216.0,10,10,0,,,,8,8
moldova_flooding_2024,ok,28,28,-8.0,-8.0,640.0,640.0,0,0,28,0.060162981581528996,560.0,529.0,8,8
spain_flood,ok,30,10,-8.0,-8.0,224.0,208.0,20,0,10,0.18170967651522052,210.0,192.0,"0,8,16",8
the_earthquake_across_central_mexico,ok,13,4,24.0,32.0,136.0,128.0,9,0,4,0.0,0.0,0.0,"0,8,16",8
the_flooding_across_bagmati_and_koshi_provinces_nepal,ok,15,15,-8.0,-8.0,328.0,328.0,0,0,15,0.4862366273958597,300.0,298.0,8,8
the_flooding_across_eastern_bangladesh,ok,12,12,-8.0,-8.0,256.0,256.0,0,0,12,0.0481411918708845,252.0,236.0,8,8
the_flooding_across_gujarat_india,ok,8,8,-8.0,-8.0,160.0,160.0,0,0,8,0.17568174724790298,168.0,164.0,8,8
turkiye_earthquake_2023,ok,36,36,-8.0,-8.0,832.0,832.0,0,0,36,0.0,0.0,0.0,8,8
typhoon_yagi_across_northeastern_vietnam,ok,11,11,-8.0,29.0,232.0,269.0,11,11,0,,,,8,8
wildfires_in_boise_county_idaho_27_august_2024,ok,15,15,-8.0,-8.0,328.0,328.0,0,0,15,0.09270769990719785,315.0,307.0,8,8
